breed,color,bite_location
min pin,NA,head
boxer,brn wht,body
beagle,NA,unknown
chichauhua,NA,body
mastif,brindle,body
pit bull,brn blue,body
boxer,brindle,head
pit bull,NA,unknown
rottweiler,blck,unknown
pit bull,NA,body
labrador retriv,NA,NA
germ shepherd,blk tan,body
yorkshire terrier,NA,head
westie,white,body
pit bull,ble wht,unknown
pit bull,blk wht,body
aaust. terr.,blk wht,body
pit bull,red white,body
pit bull,bri white,body
pit bull,tan,body
pit bull,blk white,body
maltase,whit,body
border collie m,NA,NA
pit bull,NA,body
pit bull,NA,body
labrador retriv,yellow,body
shih tzu,wht gray,body
pit bull,white,body
am bulldog,wht blk,body
pit bull,tan/wht,body
aaust. terr.,blk wht,body
germ shepherd,NA,body
husky,wht blk,body
shar-pei,NA,body
boxer,red white,unknown
rottweiler,blk red,unknown
pit bull,blue wht,head
chichauhua,NA,head
blue heeler,NA,body
bichon frise,NA,head
pit bull,white pink,body
akita,blk whit,body
labrador retriv,black,unknown
pit bull,NA,body
catahoula,blk gray,body
bichon frese,white,body
pit bull,NA,body
gold retriever,golden,body
welsh corgi,brn wht,body
border collie,NA,body
border collie,brn white,body
cane corso,NA,head
germ shepherd,NA,unknown
chichauhua,brn tan,body
pit bull,brn,body
pit bull,gry brn,head
gold retriever,yellow,body
irish setter,blk,body
labrador retriv,black,body
pit bull,brindle wh,body
chichauhua,NA,body
labrador retriv,black,body
pyrenes,white,head
beagle,blk wht,unknown
great dane,NA,body
rottweiler,NA,unknown
germ shepherd,NA,body
saint bernard,wht blk,body
beagle,NA,body
pit bull,NA,unknown
boxer,brn,body
yorkshire terrier,blonde,body
lhasa apso,gray blk,NA
alask. malamute,gray blk,body
pit bull,blue/white,head
siberan husky,whte,head
gold retriever,blonde,head
amer. bull dog,wht brn,head
pit bull,NA,body
pit bull,NA,body
pit bull,NA,body
husky,NA,body
rottweiler,brown,unknown
shih tzu,blk white,head
cane corso,tan,body
labrador retriv,black,body
germ shepherd,NA,NA
pit bull,NA,unknown
mastif,brindle,unknown
pit bull,brindle,body
chichauhua,brown,unknown
pit bull,wht brn,body
pit bull,blk white,unknown
pit bull,brn blk,body
gold retriever,golden,body
poodle,whte,body
pit bull,gold white,body
rottweiler,tan blk,body
basset hound,brown,head
boston terrier,NA,head
rottweiler,NA,body
great dane,NA,body
pit bull,NA,unknown
labrador retriv,yellow,body
pit bull,lady,body
pit bull,NA,body
beagle,black,body
labrador retriv,black,body
border collie,NA,body
pit bull,brindle,body
chichauhua,white,body
pit bull,buff,body
germ shepherd,NA,head
beagle,blk wht,body
boxer,NA,NA
rottweiler,tan,unknown
pit bull,NA,body
amer. bull dog,NA,body
gold retriever,NA,NA
chichauhua,NA,body
beagle,NA,head
pomeranian,white,body
amer. bull dog,NA,unknown
pit bull,NA,body
labrador retriv,NA,body
alask. malamute,brn,body
great dane,fawn,body
germ shepherd,NA,unknown
pit bull,blk wht,body
english bulldog,white,head
pit bull,brn white,body
germ shepherd,NA,body
great dane,NA,body
germ shepherd,NA,body
pomeranian,red,head
yorkshire terrier,gray brn,body
aaust. terr.,tri,body
shih tzu,blk wht,body
aaust. terr.,blk brn,body
pit bull,brindle,body
pit bull,brown,head
chichauhua,black,head
chow chow,black,head
pit bull,brown/whit,head
pit bull,NA,head
