breed,color,bite_location
boxer,brn blk,head
labrador retriv,blk wht,body
blue heeler,blk whte,body
black lab,black,head
english bulldog,brindle,head
labrador retriv,blk wht,head
samoyed,NA,NA
pit bull,blue wht,body
chichauhua,black,head
aaust. terr.,blk wht,body
malamute,blk wht,body
pit bull,white,body
other,NA,body
heeler,gry wht,body
labrador retriv,white,body
amer. bull dog,brn wht,body
boxer,fawn blk,body
am bulldog,white,body
schnauzer,gray,body
labrador retriv,black,body
aaust. terr.,NA,body
boxer,brown,head
great dane,NA,body
maltase,wht brn,unknown
akita,brn blk,head
germ shepherd,brn blk,body
chow chow,tan,body
border collie,blk wht,body
min pin,black brn,body
pit bull,brn wht,body
boston terrier,NA,body
rottweiler,blk brn,head
pit bull,blk wht,head
beagle,tri color,body
pit bull,brn,body
pit bull,brown,body
pit bull,brown,body
pit bull,brn,body
pit bull,brn wht,body
beagle,wht brn,body
coon hound,blk tan,unknown
weimaraner,brn gry,body
shih tzu,gray wht,head
shih tzu,blk wht,head
basset hound,black,head
pit bull,blk wht,body
aaust. terr.,NA,unknown
great dane,blk wht,body
maltase,white,body
pit bull,wht blk,unknown
pit bull,brown,body
boxer,black,body
pit bull,brown,head
beagle,tri,body
doberman,black,body
germ shepherd,tan blk,body
boxer,brn wht,body
pit bull,brindle,body
rat terrier,brindle,body
pit bull,NA,body
labrador retriv,blk wht,body
pit bull,wht blk,body
pit bull,wht tan,body
labrador retriv,black,head
bernesen mt.,blk wht br,NA
boxer,black,head
akita,brown,body
pit bull,black,body
pit bull,brown,body
pit bull,tan/brn,body
pit bull,grey/white,head
pit bull,blk wht,body
alask. malamute,blonde,body
labrador retriv,black,head
aaust. terr.,tri color,head
pit bull,blk wht,body
border collie,NA,body
labrador retriv,blk brn,body
pit bull,tan brn,body
boxer,white,body
aaust. terr.,wht blk,body
pit bull,blue wht,body
amer. bull dog,wht blk,head
germ shepherd,brn blk,body
am. eskimo,white,body
doberman,blk brn,body
pit bull,brown,body
pit bull,tan wht,body
alask. malamute,blk wht,body
doberman,choc tan,body
germ shepherd,blk tan,head
border collie,blk wht,NA
weimaraner,gray,body
cane corso,black,head
chichauhua,blk wht,head
pit bull,blue,body
labrador retriv,brown,body
pit bull,tan blk,body
pit bull,blk wht,body
pit bull,brown,body
gold retriever,golden,body
chichauhua,white,body
poodle,white,body
germ shepherd,blk tan,body
pit bull,wht blk,body
boxer,blk wht,body
doberman,brown,head
pit bull,wht,body
pit bull,NA,head
doberman,blk brn,body
pit bull,tan,body
boxer,brn wht,body
pit bull,NA,body
gold retriever,blonde,head
pomeranian,tan,body
germ shepherd,blk tan,body
boston terrier,blk wht,head
aaust. terr.,wht blk,body
pit bull,wht tan,head
pit bull,tan wht,body
pit bull,wht blk,body
greyhound,brindle,head
germ shepherd,black,body
pit bull,brn wht,body
pit bull,white,body
pit bull,NA,body
germ shepherd,white,body
pit bull,brn wht,body
pit bull,tan,body
havanese,black,body
cane corso,black,body
pomeranian,red wht,body
great dane,black,body
pit bull,white,body
corgi,brn/white,body
golden lab,tan org,head
pit bull,brn blk,head
maltase,whtie,body
labrador retriv,yellow,head
pit bull,brn wht,body
pit bull,brown,body
pit bull,brown,body
aaust. terr.,blk wht,body
pit bull,white,body
cane corso,black,body
black lab,black,body
chichauhua,tan,head
pomeranian,red,head
labrador retriv,brown,unknown
labrador retriv,blk wht,body
boxer,brn blk,body
