OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
208,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
209,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
210,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
211,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.3
212,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1.7
213,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
214,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
215,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
216,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,5
217,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
218,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
219,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2
220,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1
221,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
222,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,8
223,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2
224,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
225,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3
226,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
227,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
228,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.5
229,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,4
230,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
231,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,1
232,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
233,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
234,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,3.5
235,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
236,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2
237,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,2.2
238,CF,Dimona-CF,Dimona,2,Hm,Ao,Obligate,<1
239,CF,Dimona-CF,Dimona,2,Hp,Ao,Obligate,2.5
240,CF,Dimona-CF,Dimona,2,Ds,As,Obligate,7
241,CF,Dimona-CF,Dimona,2,Ds,As,Obligate,6
242,CF,Dimona-CF,Dimona,2,Ds,As,Obligate,3.5
243,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
244,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,6
245,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,6
246,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
247,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
248,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
249,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,1.2
250,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
251,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
252,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,1.3
253,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
254,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
255,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,2
256,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,2.5
257,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
258,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
