CO2,Light,Treatment,Tank,Colony,Number,total blastate ml,surface area cm2,change in weight g,AFDW g/ml,cells/ml,ug chl a/ml,ug chl c2/ml,mg protein/ml,mg carb/ml,mg lipid/ml,g lipid/gdw
ACO2,LL,LL-AC,21,M,27,19.5,8.1174,0.0427,0.0084,475833,2.2357,0.6814,0.312,0.0765,1.9,0.4071
ACO2,LL,LL-AC,21,N,45,27.5,11.0977,0.0409,0.0084,512500,2.4815,0.7243,0.305,0.0837,2.1333,0.4414
ACO2,LL,LL-AC,21,P,12,33.5,14.7875,0.08,0.0082,,1.3057,0.4323,0.271,0.0554,2.3667,0.5299
HCO2,LL,LL-HC,22,G,21,12.5,5.9532,0.0278,0.0077,466667,2.6441,0.6413,0.315,0.0889,,
HCO2,LL,LL-HC,22,H,41,13,4.676,0.0247,0.0083,360833,1.4789,0.4266,0.207,0.146,,
HCO2,LL,LL-HC,22,K,64,16,7.0531,0.0139,0.0083,,1.5387,1.0932,0.246,0.066,,
HCO2,LL,LL-HC,22,L,6,10.5,5.563,0.0158,0.0086,,2.5389,0.5358,0.373,0.0989,1.0667,0.3951
HCO2,LL,LL-HC,22,M,28,19.5,10.53,0.0852,0.0086,715000,2.1743,0.6023,0.328,0.1788,1.6833,0.3526
HCO2,LL,LL-HC,22,N,23,16.5,6.2016,0.0275,0.0086,387500,1.0525,0.3286,0.294,0.1503,0.7333,0.3284
HCO2,LL,LL-HC,22,P,76,35,17.5194,0.0633,0.0088,,2.897,0.7021,0.36,0.1229,1.7,0.418
HCO2,LL,LL-HC,23,G,75,11.5,5.3501,0.0126,0.011,218333,1.5651,0.3745,0.262,0.1195,,
HCO2,LL,LL-HC,23,H,30,13,7.7981,0.0299,0.011,232222,2.3949,0.7553,0.3436,0.1069,,
HCO2,LL,LL-HC,23,K,30,27,18.8321,0.0248,0.0092,,3.6194,0.6979,0.3812,0.1372,,
HCO2,LL,LL-HC,23,L,16,20,24.7926,0.0697,0.0102,,6.167,1.2694,0.6511,0.2451,1.6,0.2981
HCO2,LL,LL-HC,23,M,21,16.5,9.3237,0.0383,0.0101,441667,2.6981,0.5855,0.3948,0.1101,0.5667,0.17
HCO2,LL,LL-HC,23,N,77,45,15.1423,0.0451,0.0121,220556,1.726,0.4596,0.2662,0.0481,1.3333,0.354
HCO2,LL,LL-HC,23,P,32,27,23.5508,0.0451,0.0099,,4.8335,0.93,0.583,0.2154,0.4667,0.1261
HCO2,LL,LL-HC,24,G,66,11,4.2857,0.0457,0.0092,528333,1.6613,0.465,0.257,0.0602,,
HCO2,LL,LL-HC,24,H,79,29,16.2776,0.118,0.0099,686667,3.3316,0.6336,0.5361,0.0945,,
HCO2,LL,LL-HC,24,K,42,21.5,8.5432,0.1076,0.0082,,2.815,0.7304,0.335,0.0552,,
HCO2,LL,LL-HC,24,L,47,21.5,8.4013,0.0371,0.009,,2.475,0.5964,0.353,0.0945,0.8333,0.2604
HCO2,LL,LL-HC,24,M,67,17.5,8.4368,0.0828,0.0095,676667,2.7117,0.8641,0.351,0.0867,0.4333,0.115
HCO2,LL,LL-HC,24,N,4,32,15.3552,0.2266,0.0089,800000,2.9185,0.8342,0.398,0.0893,1.2433,0.3213
HCO2,LL,LL-HC,24,P,62,22.5,10.53,0.1057,0.009,,1.8745,0.525,0.299,0.0775,0.9,0.3253
